driverId,name,ssn,location,certified,wage-plan
10,Deanna Mccormick,232-45-1821,"3975 Knapp Harbors
Port Jenniferchester, OK 52553",Y,hours
11,Latasha Lopez,868-47-8063,"6619 Rebecca Mountain
Kelseystad, IL 78725",N,miles
12,Sean Meadows,199-22-6112,"800 Carter Groves
East Bradley, FL 89902",Y,miles
13,Kevin Graves,301-89-6402,"052 Lisa Creek Apt. 766
Johnsonfort, AR 94605",N,hours
14,James Austin,459-42-6117,"PSC 0051, Box 3184
APO AE 70144",N,hours
15,Jennifer White,027-11-1218,"059 Alvarez Freeway
Adamsmouth, FL 05952",Y,miles
16,Jessica King,286-97-9320,"696 Janet Mews Suite 937
North Sandra, WI 68678",N,hours
17,Darrell Osborne,275-36-9833,"274 Anna Forest
Lake Jennifershire, MD 00564",N,miles
18,James Jennings,112-64-8713,"90951 Patton Court Apt. 971
South Stephanieton, DC 03575",Y,miles
19,Sherry Orr,301-55-6054,"01894 Samuel Ville Apt. 569
South Sandramouth, RI 71324",N,miles
20,William Thomas,090-39-3487,"768 Joanna Land
Port Gail, FM 72243",Y,hours
21,Rachel Reynolds,799-42-6611,"9141 Zimmerman Mountain Suite 359
Lake Matthewfurt, GU 04317",N,hours
22,Amber Turner,894-10-8809,"27579 Paula Stream
Amandaberg, TX 31587",N,miles
23,Cheryl Knight,019-99-2676,"041 Thompson Curve
West Kathrynborough, PA 18827",Y,miles
24,Mrs. Christina Simmons,897-79-0315,"42025 Scott Brooks Suite 726
Port Haroldhaven, MP 53429",Y,miles
25,Timothy Ruiz,595-85-0032,"366 Smith Causeway Suite 179
Smithfort, ID 53023",Y,miles
26,Andrea Mendez,275-72-3712,"688 Garcia Passage
South Dominique, RI 05585",Y,hours
27,Stephanie Gutierrez,326-01-7776,"958 Duane Cape Apt. 034
West Phillip, WI 91218",Y,hours
28,Ernest Le,074-91-6373,"10219 James Tunnel
Whitebury, TN 41923",Y,miles
29,Jose Blanchard,321-10-9849,"3589 Jessica Glens
West Steven, NC 04875",N,hours
30,Kathryn Herrera,329-80-6082,"6430 Dustin Trail
Bruceville, AK 05420",N,hours
31,Charles Peterson,078-28-6602,"4103 Barbara Points Apt. 392
Toddfort, OH 62984",N,miles
32,Gary Chandler,861-56-7839,"0444 Jennifer Flat Suite 895
Lake Richardburgh, AL 24342",Y,hours
